"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Portland DSA","01/29/2026","","Email","Labor","Sent DSA Toolkit for potential federal government shutdown including action items to support the ""melt ICE act"" and requested that councilors share the ""labor says ICE out"" rally/march","Maria Sipin; Mitch Green","Benjamin Gilbert",
"Portland DSA","01/29/2026","","Email","Labor","Sent DSA Toolkit for potential federal government shutdown including action items to support the ""melt ICE act"" and requested that councilors share the ""labor says ICE out"" rally/march","Angelita Morillo; Meredith Wadlington","Benjamin Gilbert",
"Portland DSA","01/29/2026","","Email","Labor","Sent DSA Toolkit for potential federal government shutdown including action items to support the ""melt ICE act"" and requested that councilors share the ""labor says ICE out"" rally/march","Lisa Freeman; Sameer Kanal","Benjamin Gilbert",
"Portland DSA","02/01/2026","","Text Message","Police and Public Safety","Asked how the chapter can help with/be involved with the tear gas ordinance ","Sameer Kanal","Benjamin Gilbert",
"Portland DSA","02/02/2026","","Telephone","Police and Public Safety","Asked what responses the city can have to ICE repression in Portland","Maria Sipin","Benjamin Gilbert",
"Portland DSA","02/03/2026","","Personal Meeting","Housing and Community Development","Expressed support for rent buydowns","Tiffany Koyama Lane","Benjamin Gilbert",
"Portland DSA","02/03/2026","","Telephone","Police and Public Safety","Expressed support for the tear gas ban, mask ban for law enforcement/ICE, and asked how we can further support those efforts.","Sameer Kanal","Benjamin Gilbert",
"Portland DSA","02/09/2026","","Text Message","Labor","Asked for clarification on what the discussion of wage theft at the Labor and Workforce Development Committee on Feb 12 would entail ","Maria Sipin","Benjamin Gilbert",
"Portland DSA","02/17/2026","","Virtual Meeting","Other: Governance","Monthly SIOC Meeting with Electeds; Discussed the changes to the council committee structure, appointments and composition. ","Lisa Freeman; Sameer Kanal","Aiden Summers; Benjamin Gilbert; Dave Coburn; Jesse Joseph; Jordan Lewis",
"Portland DSA","02/18/2026","","Personal Meeting","Other: Governance","Discussed meeting frequency","Tiffany Koyama Lane","Benjamin Gilbert",
"Portland DSA","02/20/2026","","Email","Financial Administration and Management","Asked Councilor Kanal's office to provide feedback on letter regarding the short term fund and its investments ","Jacq Tjaden; Sameer Kanal","Benjamin Gilbert",
"Portland DSA","02/20/2026","","Virtual Meeting","Police and Public Safety","Expressed support for ""Right to Know Who is Policing You"" and asked Councilor Kanal's office to provide a FAQ sheet/talking points about the legislation for DSA","Sameer Kanal","Benjamin Gilbert",
"Portland DSA","03/03/2026","","Email","Youth","Emailed about Pre-K for All Pledge","Tiffany Koyama Lane","Dave Coburn",
"Portland DSA","03/03/2026","","Email","Youth","Emailed about Pre-K for All Pledge","Angelita Morillo","Dave Coburn",
"Portland DSA","03/04/2026","","Telephone","Police and Public Safety","Asked for steps to support ICE related legislation ","Sameer Kanal","Benjamin Gilbert",
"Portland DSA","03/09/2026","","Personal Meeting","Housing and Community Development","Asked the office to support rent buy-downs","Meredith Wadlington","Benjamin Gilbert",
"Portland DSA","03/09/2026","","Personal Meeting","Housing and Community Development","Asked the office to support rent buy-downs","Christian Aguinaga ; Maria Sipin","Benjamin Gilbert",
"Portland DSA","03/10/2026","","Telephone","Police and Public Safety","Asked the office for information on the Right to Know Who is Policing You ordinance","Jacq Tjaden","Benjamin Gilbert",
"Portland DSA","03/13/2026","","Email","Education","Emailed about PCC Strike","Mitch Green","Dave Coburn",
"Portland DSA","03/13/2026","","Email","Education","Emailed about PCC Strike","Tiffany Koyama Lane","Dave Coburn",
"Portland DSA","03/13/2026","","Email","Education","Emailed about PCC Strike","Angelita Morillo","Dave Coburn",
"Portland DSA","03/13/2026","","Email","Education","Emailed about PCC Strike","Sameer Kanal","Dave Coburn",
"Portland DSA","03/17/2026","","Virtual Meeting","Police and Public Safety","Monthly SIOC meeting with electeds; Asked for steps to support ICE related legislation ","Angelita Morillo","Aiden Summers; Benjamin Gilbert; Dave Coburn; Jesse Joseph",
"Portland DSA","03/27/2026","","Text Message","Police and Public Safety","Asked for an update on Right to Know who is Policing You Ordinance","Jacq Tjaden","Benjamin Gilbert",
"Portland for All","01/01/2026","03/31/2026","Email; Meeting Preparation; Virtual Meeting","Housing and Community Development","Portland's plan to address housing and homelessness","Candace Avalos","Andrés Oswill",
"Portland General Electric ","01/01/2026","03/31/2026","Communication Preparation; Email; Indirect Lobbying; Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Sustainable Development: energy","Harborton Reliability Project ","Aisling Coghlan; Devin Mullins; Devyn Melnychuk; Donnie Oliveira; Eben Hoffer; Grace Galvez Mora; Keith Wilson; Lisa Freeman; Madeline West; Maria Sipin; Mitch Green; Raihana Ansary ; Spencer Knowles; Steve Novick; Will Mespelt","Kristen Sheeran ; Maria Pope; Meredith Armstrong ; Preston Korst",
"Portland General Electric ","01/05/2026","","Personal Meeting","Sustainable Development: energy","PBOT programmatic permitting and policy","Millicent Williams","Preston Korst",
"Portland General Electric ","01/16/2026","","Personal Meeting","Sustainable Development: energy","Meeting with Cornell Wesley and PGE","Cornell Wesley","Kristen Sheeran ; Maria Pope; Preston Korst",
"Portland General Electric ","02/06/2026","","Goodwill Building (non-lobbying); Personal Meeting","Business and Economic Development","OSU Corvallis Site Visit ","Eric Engstrom; Keith Wilson; Raihana Ansary ; Spencer Knowles","Preston Korst",
"Portland General Electric ","02/17/2026","","Personal Meeting","Sustainable Development: energy","Meeting to discuss Transportation Electrification Infrastructure Development and Installation ","Devin Mullins; Elana Pirtle-Guiney","Preston Korst",
"Portland General Electric ","03/04/2026","","Personal Meeting","Sustainable Development: energy","Meeting with Prosper Portland leadership to discuss and coordinate economic development projects and planning.","Cornell Wesley","Kristen Sheeran ; Preston Korst",
"Portland General Electric ","03/04/2026","","Email; Personal Meeting","Sustainable Development: energy","Meeting with City Administrator Raymond Lee to discuss PGE economic development projects and PGE operations within Portland","Raymond Lee","Kristen Sheeran ; Preston Korst",
"Portland General Electric ","03/09/2026","","Email; Personal Meeting; Telephone","Business and Economic Development","PBOT Alternative Funding Conversation","Millicent Williams","Preston Korst",
"Portland General Electric ","03/18/2026","","Goodwill Building (non-lobbying); Personal Meeting","Sustainable Development: energy","Tour of PGE Integrated Operations Center","Eric Engstrom; Eric Kutch; Kezia Wanner","Meredith Armstrong ; Preston Korst",
"Portland General Electric ","03/30/2026","","Email; Personal Meeting","Sustainable Development: energy","PBOT + PGE Vegetation Management Discussion - ROW Permitting","Millicent Williams","Preston Korst",
"Portland General Electric ","03/30/2026","","Email","Sustainable Development: energy","Email to City Administrator Email (OPUC Rate Case Increase)","Raymond Lee","Preston Korst",
"Portland Metropolitan Association of Realtors","01/06/2026","","Email","Housing and Community Development","algorithmic rent pricing","Andre Miller; Angelita Morillo; Suzy Deuster","Kari Chisholm",
"Portland Metropolitan Association of Realtors","01/09/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Eric Zimmerman; Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/15/2026","","Email","Housing and Community Development","down payment assistance","Elijah Crawford; Eva Stanganelli; Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/16/2026","","Text Message","Housing and Community Development","small scale housing production agenda","Aisling Coghlan; Raihana Ansary ","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/16/2026","","Email","Housing and Community Development","down payment assistance","Elijah Crawford; Eva Stanganelli; Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/20/2026","","Telephone","Housing and Community Development","Portland Housing Bureau Funding","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/20/2026","","Telephone","Housing and Community Development","Portland Housing Bureau Funding","Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/20/2026","","Telephone","Housing and Community Development","Housing Bureau Funding","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/20/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Elijah Crawford; Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/20/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Eric Zimmerman","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/20/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Eric Zimmerman; Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/20/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Natalie Sept","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/21/2026","","Telephone","Housing and Community Development","downpayment assistance","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/21/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Elijah Crawford; Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/21/2026","","Text Message","Housing and Community Development","downpayment assistance","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/21/2026","","Email","Housing and Community Development","downpayment assistance","Elijah Crawford; Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/22/2026","","Text Message","Housing and Community Development","downpayment assistance","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","01/26/2026","","Personal Meeting","Housing and Community Development","Housing Bureau Funding","Lorne Bulling","Amy Ruiz; Kari Chisholm",
"Portland Metropolitan Association of Realtors","02/02/2026","","Telephone","Housing and Community Development","Housing Bureau Funding","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/03/2026","","Telephone","Housing and Community Development","Housing Bureau Funding","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/03/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/06/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/07/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/12/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/13/2026","","Telephone","Housing and Community Development","Housing Bureau Funding","Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/18/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Elijah Crawford; Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/18/2026","","Text Message","Housing and Community Development","Housing Bureau Funding","Loretta Smith","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/18/2026","","Telephone","Housing and Community Development","Housing Bureau Funding","Elijah Crawford","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/18/2026","","Telephone","Housing and Community Development","Housing Bureau Funding","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/27/2026","","Email","Business and Economic Development","BLT exemption","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/27/2026","","Text Message","Housing and Community Development","family status discrimination ordinance","Devin Mullins","Amy Ruiz",
"Portland Metropolitan Association of Realtors","02/27/2026","","Telephone","Housing and Community Development","family status discrimination ordinance","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","03/02/2026","","Text Message","Housing and Community Development","family status discrimination ordinance","Devin Mullins","Amy Ruiz",
"Portland Metropolitan Association of Realtors","03/02/2026","","Telephone","Housing and Community Development","family status discrimination ordinance","Devin Mullins","Amy Ruiz",
"Portland Metropolitan Association of Realtors","03/11/2026","","Text Message","Housing and Community Development","housing funding","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","03/18/2026","","Text Message","Housing and Community Development","MIRL","Lorne Bulling","Amy Ruiz",
"Portland Psychedelic Society Action Fund","01/05/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","01/05/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","01/14/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","01/15/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","01/21/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","01/23/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","01/26/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ","Amy Ruiz",
"Portland Psychedelic Society Action Fund","01/26/2026","","Telephone","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","01/26/2026","","Personal Meeting","Police and Public Safety","portland psychedelic health & safety act","Lorne Bulling","Amy Ruiz; Kari Chisholm",
"Portland Psychedelic Society Action Fund","01/30/2026","","Personal Meeting","Police and Public Safety","psychedelics policy ","Lorne Bulling","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/02/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/02/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Elana Pirtle-Guiney","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/02/2026","","Telephone","Police and Public Safety","portland psychedelic health & safety act","Lorne Bulling","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/02/2026","","Telephone","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/02/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Lorne Bulling","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/03/2026","","Telephone","Police and Public Safety","portland psychedelic health & safety act","Elana Pirtle-Guiney","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/03/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Devin Mullins; Elana Pirtle-Guiney","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/09/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Devin Mullins; Elana Pirtle-Guiney","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/09/2026","","Personal Meeting","Police and Public Safety","portland psychedelic health & safety act","Eva Stanganelli; Jamie Dunphy","Courtney Moran ",
"Portland Psychedelic Society Action Fund","02/11/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/12/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Dan Ryan","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/12/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ; Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/12/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Lisa Freeman","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/12/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Elijah Crawford; Loretta Smith","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/12/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Olivia Clark","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/12/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Steve Novick","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/12/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Nate Howard",
"Portland Psychedelic Society Action Fund","02/13/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Nate Howard",
"Portland Psychedelic Society Action Fund","02/13/2026","","Personal Meeting","Police and Public Safety","portland psychedelic health & safety act","Christian Aguinaga ; Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/17/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Kezia Wanner","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/17/2026","","Telephone","Police and Public Safety","portland psychedelic health & safety act","Kezia Wanner","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/17/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Nate Howard",
"Portland Psychedelic Society Action Fund","02/18/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Spencer Knowles","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/18/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Lisa Freeman","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/18/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Megan Beyer","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/19/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Lisa Freeman","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/19/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Elijah Crawford","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/19/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Spencer Knowles","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/20/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Devin Mullins","Adriana Voss-Andreae; Amy Ruiz; Kari Chisholm; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","02/20/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Nate Howard",
"Portland Psychedelic Society Action Fund","02/24/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","02/25/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/25/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Lisa Freeman","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/25/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Elijah Crawford","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/25/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Megan Beyer","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/25/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Spencer Knowles","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/26/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/26/2026","","Telephone","Police and Public Safety","portland psychedelic health & safety act","Spencer Knowles","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/26/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Spencer Knowles","Kari Chisholm",
"Portland Psychedelic Society Action Fund","02/26/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/04/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/05/2026","","Text Message","Police and Public Safety","portland psychedelic health & safety act","Devin Mullins; Elana Pirtle-Guiney","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/05/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/06/2026","","Personal Meeting","Police and Public Safety","portland psychedelic health & safety act","Megan Beyer","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/09/2026","","Email","Police and Public Safety","portland psychedelic health & safety act","Candace Avalos; Lauren Jin; Sofia Diffee","Courtney Moran ; Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/09/2026","","Email","Police and Public Safety","psychedelic health & safety","Candace Avalos; Lauren Jin; Sofia Diffee","Courtney Moran ",
"Portland Psychedelic Society Action Fund","03/09/2026","","Email","Police and Public Safety","psychedelic health & safety","Andre Miller; Angelita Morillo; Meredith Wadlington","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/09/2026","","Email","Police and Public Safety","psychedelic health & safety","Mary Li; Tiffany Koyama Lane","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/09/2026","","Email","Police and Public Safety","psychedelic health & safety","Mary Li; Tiffany Koyama Lane","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/11/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/11/2026","","Telephone","Police and Public Safety"," psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/11/2026","","Email","Police and Public Safety","psychedelic health & safety","Candace Avalos; Lauren Jin; Sofia Diffee","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/12/2026","","Email","Police and Public Safety","psychedelic health & safety","Andre Miller; Angelita Morillo; Meredith Wadlington","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/12/2026","","Email","Police and Public Safety","psychedelic health & safety","Andre Miller; Angelita Morillo; Meredith Wadlington","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/13/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Aisling Coghlan","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/13/2026","","Email","Police and Public Safety","psychedelic health & safety","Kristopher Taft","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/17/2026","","Email","Police and Public Safety","psychedelic health & safety","Kristopher Taft","Adriana Voss-Andreae; Kari Chisholm; Max Kelemen",
"Portland Psychedelic Society Action Fund","03/18/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/18/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/20/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/20/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/20/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Kristopher Taft","Adriana Voss-Andreae; Kari Chisholm; Max Kelemen",
"Portland Psychedelic Society Action Fund","03/25/2026","","Email","Police and Public Safety","psychedelic health & safety","Kristopher Taft","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/26/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/26/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/26/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/30/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/30/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/30/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/30/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/30/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Jamie Dunphy","Adriana Voss-Andreae; Kari Chisholm; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/30/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Angelita Morillo; Suzy Deuster","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/30/2026","","Email","Police and Public Safety","psychedelic health & safety","Suzy Deuster","Courtney Moran ; Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/30/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Mary Li","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/30/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Devin Mullins","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen",
"Portland Psychedelic Society Action Fund","03/31/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm",
"Portland Psychedelic Society Action Fund","03/31/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Adriana Voss-Andreae; Courtney Moran ; Kari Chisholm; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/31/2026","","Virtual Meeting","Police and Public Safety","psychedelic health & safety","Candace Avalos; Gloria Ochoa-Sandoval","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","03/31/2026","","Email","Police and Public Safety","psychedelic health & safety","Suzy Deuster","Courtney Moran ; Kari Chisholm",
"Portland State University","01/06/2026","03/30/2026","Goodwill Building (non-lobbying); Personal Meeting; Virtual Meeting","Arts and Culture","Check-Ins about the Performing Arts and Culture Center","Karl Lisle","Donald Forsythe; Jason Franklin",
"Portland State University","01/08/2026","03/03/2026","Personal Meeting","Other: Introductory Meeting","Discussed Councilor's priorities and provided PSU updates. ","Candace Avalos; Dan Ryan; Eric Zimmerman; Kezia Wanner; Lorne Bulling; Mary Li; Steve Novick; Tiffany Koyama Lane","Ann Cudd; Cynthia Gomez; Kimberly Koops",
"Portland State University","01/12/2026","01/28/2026","Committee Meeting; Email","Transportation: streets, sidewalks and street lighting","Jackson Street/Rose Hill Rename","Aisling Coghlan; Andre Miller; Angelita Morillo; Candace Avalos; Christian Aguinaga ; Christopher Van Velden; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Jimmy Radosta; Loretta Smith; Lorne Bulling; Maria Sipin; Megan Beyer; Millicent Williams; Mitch Green; Olivia Clark; Priya Dhanapal; Raihana Ansary ; Sameer Kanal; Sprout Chinn; Steve Novick; Tiffany Koyama Lane","Cynthia Gomez",
"Portland State University","01/14/2026","03/19/2026","Committee Meeting; Email; Personal Meeting","Education","University Updates and Financial Sustainability","Aisling Coghlan; Andre Miller; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Elijah Crawford; Eric Zimmerman; Grace Galvez Mora; Jacque Dixon; Jamie Dunphy; Keith Wilson; Kezia Wanner; Lisa Freeman; Loretta Smith; Lorne Bulling; Maria Sipin; Mary Li; Megan Beyer; Mitch Green; Natalie Sept; Olivia Clark; Raihana Ansary ; Sameer Kanal; Spencer Knowles; Steve Novick; Tiffany Koyama Lane","Ann Cudd; Cynthia Gomez; Kimberly Koops",
