"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Pro-Animal Oregon","10/01/2025","10/27/2025","Communication Preparation; Email; Indirect Lobbying","Business and Economic Development","mobilized constituents to send emails requesting support of the proposed foie gras ban","Loretta Smith","Sam Schillinger",
"Pro-Animal Oregon","10/01/2025","12/30/2025","Communication Preparation; Email; Indirect Lobbying","Business and Economic Development","mobilized constituents to send emails requesting support of the proposed foie gras sales ban","Elana Pirtle-Guiney","Sam Schillinger",
"Pro-Animal Oregon","10/01/2025","12/31/2025","Email; Indirect Lobbying","Business and Economic Development","mobilized constituents to send emails requesting support of the proposed foie gras sales ban","Dan Ryan; Will Mespelt","Sam Schillinger",
"Pro-Animal Oregon","10/01/2025","12/31/2025","Communication Preparation; Email; Indirect Lobbying","Business and Economic Development","mobilized constituents to reach out thanking for support of the proposed foie gras sales ban","Steve Novick","Sam Schillinger",
"Pro-Animal Oregon","10/01/2025","12/31/2025","Communication Preparation; Email; Indirect Lobbying","Business and Economic Development","mobilized constituents to reach out thanking for support of the proposed foie gras sales ban","Candace Avalos; Sabina Urdes","Sam Schillinger",
"Pro-Animal Oregon","10/09/2025","","Email","Business and Economic Development","Reached out to gauge support of proposed foie gras sales ban","Dan Ryan; Will Mespelt","Sam Schillinger",
"Pro-Animal Oregon","10/09/2025","","Meeting Preparation; Virtual Meeting","Business and Economic Development","Call to discuss potential legal challenges to proposed foie gras sales ban and iron out ordinance language","Christian Aguinaga ; Mitch Green","Eva Hamer; Sam Schillinger",
"Pro-Animal Oregon","10/19/2025","","Communication Preparation; Email; Indirect Lobbying; Personal Meeting","Business and Economic Development","Mobilized constituents to attend town hall to request support of the proposed foie gras sales ban","Elana Pirtle-Guiney; Emily Hebbron","Sam Schillinger",
"Pro-Animal Oregon","10/20/2025","","Email","Business and Economic Development","Reached out to share materials regarding proposed foie gras sales ban","Dan Ryan; Will Mespelt","Sam Schillinger",
"Pro-Animal Oregon","10/24/2025","","Personal Meeting","Business and Economic Development","Mobilized constituents to attend town hall and request support for proposed foie gras sales ban","Elijah Crawford; Joel Corcoran; Loretta Smith; Tali Reed","Sam Schillinger",
"Pro-Animal Oregon","10/28/2025","12/31/2025","Communication Preparation; Email; Indirect Lobbying","Business and Economic Development","mobilized constituents to reach out thanking for support of the proposed foie gras sales ban","Elijah Crawford; Joel Corcoran; Loretta Smith; Tali Reed","Sam Schillinger",
"Pro-Animal Oregon","12/09/2025","","Meeting Preparation; Virtual Meeting","Business and Economic Development","Call to discuss preparation and details for Arts & Economy Committee Hearing for proposed foie gras sales ban","Christian Aguinaga ; Mitch Green","Eva Hamer; Sam Schillinger",
"Pro-Animal Oregon","12/19/2025","","Meeting Preparation; Virtual Meeting","Business and Economic Development","Call to discuss language and potential legal challenges for proposed foie gras sales ban","Christian Aguinaga ; Mitch Green","Eva Hamer; Sam Schillinger",
"RealPage","10/07/2025","","Personal Meeting","Housing and Community Development","Amend or reject Proposed Ordinance 2025-45","Dan Ryan","Joseph Gardner",
"RealPage","10/07/2025","","Personal Meeting","Housing and Community Development","Meeting Request","Elana Pirtle-Guiney","Joseph Gardner",
"RealPage","10/07/2025","","Email","Housing and Community Development","Meeting Request","Dan Ryan; Elana Pirtle-Guiney; Steve Novick; Will Mespelt","Joseph Gardner; Lynda Gardner",
"RealPage","10/09/2025","","Email","Housing and Community Development","Meeting Request","Loretta Smith","Joseph Gardner; Lynda Gardner",
"RealPage","10/09/2025","","Virtual Meeting","Housing and Community Development","Meeting Request","Dan Ryan; Elana Pirtle-Guiney; Loretta Smith; Steve Novick","Joseph Gardner",
"RealPage","10/13/2025","","Virtual Meeting","Housing and Community Development","Amend or reject Proposed Ordinance 2025-46","Will Mespelt","Joseph Gardner; Lynda Gardner",
"RealPage","10/16/2025","","Email","Housing and Community Development","Meeting Preparation","Spencer Knowles","Joseph Gardner; Lynda Gardner",
"RealPage","10/20/2025","","Personal Meeting","Housing and Community Development","Amend or reject Proposed Ordinance 2025-46","Spencer Knowles","Joseph Gardner; Lynda Gardner",
"RealPage","10/23/2025","","Virtual Meeting","Housing and Community Development","Meeting Request","Eric Zimmerman; Olivia Clark","Joseph Gardner",
"RealPage","11/03/2025","","Email","Housing and Community Development","Informational Follow-Up","Spencer Knowles","Joseph Gardner; Lynda Gardner",
"RealPage","11/03/2025","","Personal Meeting","Housing and Community Development","Amend or reject Proposed Ordinance 2025-46","Adam Murray","Joseph Gardner; Lynda Gardner",
"RealPage","11/03/2025","","Personal Meeting","Housing and Community Development","Amend or reject Proposed Ordinance 2025-46","Devin Mullins; Elana Pirtle-Guiney","Joseph Gardner; Lynda Gardner",
"RealPage","11/07/2025","","Email","Housing and Community Development","Update on Suggested Amendments to Proposed Ordinance 2025-46","Adam Murray","Joseph Gardner; Lynda Gardner",
"RealPage","11/09/2025","","Email","Housing and Community Development","Information on RealPage - City of Berkeley settlement","Adam Murray; Dan Ryan; Devin Mullins; Elana Pirtle-Guiney; Eric Zimmerman; Loretta Smith; Olivia Clark; Spencer Knowles; Steve Novick; Will Mespelt","Joseph Gardner; Lynda Gardner",
"RealPage","11/11/2025","","Email","Housing and Community Development","Proposed amendment language to Proposed Ordinance 2025-46","Adam Murray","Joseph Gardner; Lynda Gardner",
"RealPage","11/13/2025","","Email","Housing and Community Development","Request for a question on legislative intent","Dan Ryan; Will Mespelt","Joseph Gardner; Lynda Gardner",
"Rip City Management/TBI","10/20/2025","11/06/2025","Email; Personal Meeting","Business and Economic Development","Moda Center","Aisling Coghlan; Devin Mullins; Donnie Oliveira; Elana Pirtle-Guiney; Elijah Crawford; Loretta Smith; Natalie Sept; Raihana Ansary ","Dan Jarman",
"Rip City Management/TBI","10/28/2025","","Telephone","Housing and Community Development","Right to Dream Housing","Raihana Ansary ","Dan Jarman",
"Rip City Management/TBI","11/03/2025","12/31/2025","Personal Meeting; Telephone; Virtual Meeting","Business and Economic Development","Project MT. Hood","Aisling Coghlan; Donnie Oliveira; Jonas Biery; Raihana Ansary ; Raymond Lee","Dan Jarman",
"TriMet","10/02/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Service Cuts","Alan DeLaTorre; Mary Li","John Serra",
"TriMet","10/02/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Infrastructure and improvements
","Keith Wilson; Kristopher Taft","Andrew Wilson; JC Vannatta; Miles Pengilly; Sam Desue",
"TriMet","10/02/2025","","Goodwill Building (non-lobbying)","Transportation: streets, sidewalks and street lighting","Tour of TriMet's Surveillance System and Security","Keith Wilson; Kristopher Taft","Andrew Wilson; JC Vannatta; Miles Pengilly; Sam Desue",
"TriMet","10/06/2025","","Text Message","Transportation: streets, sidewalks and street lighting","TriMet Funding","Angelita Morillo","Miles Pengilly",
"TriMet","10/09/2025","","Telephone","Police and Public Safety","Gateway/TOC Easement","Raihana Ansary ","John Serra",
"TriMet","10/09/2025","","Personal Meeting","Police and Public Safety","Gateway/TOC Easement","Jamey Evenstar","John Serra",
"TriMet","10/09/2025","","Email","Police and Public Safety","Gateway/TOC Easement","Elijah Crawford","John Serra",
"TriMet","10/10/2025","","Committee Meeting; Goodwill Building (non-lobbying)","Transportation: streets, sidewalks and street lighting","Gateway Transit Center Security","Amani Kelekele; Candace Avalos; Cornell Wesley; Jamie Dunphy; Keith Wilson; Kristopher Taft; Loretta Smith; Raihana Ansary ; Robert Day; Sabina Urdes","Andrew Wilson; John Serra; Miles Pengilly",
"TriMet","10/10/2025","","Text Message","Transportation: streets, sidewalks and street lighting","TriMet rider experience","Angelita Morillo","Miles Pengilly",
"TriMet","10/24/2025","","Telephone","Transportation: streets, sidewalks and street lighting","Portland City Council Transportation Committee Presentation","Megan Beyer","John Serra",
"TriMet","11/05/2025","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","Gateway Transit Center Coordination","Raihana Ansary ","John Serra",
"TriMet","11/07/2025","","Committee Meeting","Transportation: streets, sidewalks and street lighting","82nd Ave Transit Project Policy & Budget
","Millicent Williams","JC Vannatta; Sam Desue",
"TriMet","11/12/2025","","Committee Meeting","Transportation: streets, sidewalks and street lighting","homeless encampments, debris, and clean ups with transportation partners","Keith Wilson; Kristopher Taft; Millicent Williams; Priya Dhanapal; Raihana Ansary ; Skyler Brocker-Knapp","John Serra; Miles Pengilly",
"TriMet","11/13/2025","","Committee Meeting","Transportation: streets, sidewalks and street lighting","TriMet service cuts and local collaboration","Keith Wilson","JC Vannatta; John Serra; Miles Pengilly; Sam Desue",
"TriMet","11/18/2025","","Email","Transportation: streets, sidewalks and street lighting"," BAT Lanes: 82nd Ave Transit Project","Sameer Kanal; Tiffany Koyama Lane","JC Vannatta",
"TriMet","11/19/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Transit Safety and Efficiency ","Dan Ryan; Kezia Wanner","John Serra; Sam Desue",
"TriMet","11/20/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","JPACT Discussion","Millicent Williams","Sam Desue",
"TriMet","12/04/2025","","Committee Meeting","Transportation: streets, sidewalks and street lighting","82nd Avenue Transit Project","Millicent Williams","Sam Desue",
"TriMet","12/12/2025","","Committee Meeting","Transportation: streets, sidewalks and street lighting","82nd Ave Transit Project Policy & Budget","Millicent Williams","JC Vannatta; Sam Desue",
"TriMet","12/15/2025","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","Greyhound Building ","Skyler Brocker-Knapp","John Serra",
"TriMet","12/15/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Trimet/City of Portland: Greyhound Discussion
","Skyler Brocker-Knapp","JC Vannatta; John Serra",
"TriMet","12/17/2025","","Committee Meeting","Transportation: streets, sidewalks and street lighting","STC IGA and PEG meetings
","Jonas Biery; Michael Jordan; Millicent Williams; Priya Dhanapal","Sam Desue",
"TriMet","12/17/2025","","Committee Meeting","Transportation: streets, sidewalks and street lighting","Portland Streetcar","Keith Wilson; Michael Jordan; Priya Dhanapal","JC Vannatta",
"TriMet","12/17/2025","","Committee Meeting","Transportation: streets, sidewalks and street lighting","Greyhound Building","Donnie Oliveira","JC Vannatta; John Serra; Miles Pengilly",
"TriMet","12/18/2025","","Email","Transportation: streets, sidewalks and street lighting","Greyhound Building","Donnie Oliveira","JC Vannatta",
"TriMet","12/18/2025","","Email","Transportation: streets, sidewalks and street lighting","Transit, vision for community","Angelita Morillo","JC Vannatta",
"TriMet","12/18/2025","","Committee Meeting","Transportation: streets, sidewalks and street lighting","Transit, vision for community
","Angelita Morillo","Andrew Wilson; JC Vannatta; Sam Desue",
"TriMet","12/19/2025","","Email","Transportation: streets, sidewalks and street lighting","PCEF funding for transit","Angelita Morillo; Spencer Knowles; Steve Novick; Suzy Deuster","John Serra; Miles Pengilly",
"TriMet","12/29/2025","","Personal Meeting","Police and Public Safety","Transit Police Department","Robert Day","Andrew Wilson",
"TriMet","12/30/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","82nd Avenue Transit Project","Millicent Williams","Sam Desue",
"Verizon","10/08/2025","","Telephone","Cable and Franchise","wireless communications","Raihana Ansary ","Amy Ruiz",
"Verizon","10/08/2025","","Text Message","Cable and Franchise","wireless communications","Raihana Ansary ","Amy Ruiz",
"Verizon","10/27/2025","","Personal Meeting","Cable and Franchise","wireless communications","Raihana Ansary ","Amy Ruiz; Troy Gagliano",
"Waymo LLC","10/01/2025","12/31/2025","Email; Telephone; Virtual Meeting","Business and Economic Development","Autonomous Vehicles","Jimmy Radosta; Megan Beyer; Millicent Williams; Olivia Clark; Vivian Satterfield","Amy Ruiz",
"Working Waterfront Coalition","10/01/2025","12/19/2025","Committee Meeting; Communication Preparation; Email; Meeting Preparation","Planning","CEI Hub ","Eli Spevak; Eric Zimmerman; Erica Thompson; Luke Zak; Mary-Rain O'Meara; Spencer Knowles; Steph Routh; Steve Novick; Zach Ward","Tanya Hartnett",
"Working Waterfront Coalition","10/01/2025","12/31/2025","Committee Meeting; Communication Preparation; Email; Meeting Preparation; Virtual Meeting","Planning","Economic Opportunities Analysis-EOA","Amani Kelekele; Ava Atwood; Cornell Wesley; Dan Ryan; Devin Mullins; Devyn Melnychuk; Edna Aguirre Velazquez; Elana Pirtle-Guiney; Elijah Crawford; Ella Hutcherson; Emily Hebbron; Jamie Dunphy; Joel Corcoran; Kezia Wanner; Loretta Smith; Luke Zak; Megan Beyer; Natalie Sept; Sameer Kanal; Will Mespelt; Zach Ward","Tanya Hartnett",
