"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Lyft, Inc.","12/31/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Andrea Lobato",
"Lyft, Inc.","12/17/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Andrea Lobato",
"Lyft, Inc.","12/28/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Andrea Lobato",
"Oregon Citizens' Utility Board","10/01/2015","Telephone","Water","autopay issues","Frost, Liam","Janice Thompson",
"Oregon Citizens' Utility Board","10/09/2015","Personal Meeting","Water","PWB budget and PUB implementation","Frost, Liam","Janice Thompson",
"Oregon Citizens' Utility Board","10/16/2015","Telephone","Water","PWB budget  and PUB implementation
","Frost, Liam","Janice Thompson",
"Oregon Citizens' Utility Board","10/20/2015","Telephone","Water","monthly billing and low income discount outreach
","Frost, Liam","Janice Thompson",
"Oregon Citizens' Utility Board","10/10/2015","Telephone","Water","monthly billing and low income discount outreach
","Frost, Liam","Janice Thompson",
"Oregon Citizens' Utility Board","11/03/2015","Personal Meeting","Other: Sewer","PUB Meeting","Blackwood, Jim; Frost, Liam; Jordan, Michael; Stuhr, Michael","Janice Thompson",
"Oregon Citizens' Utility Board","10/13/2015","Personal Meeting","Other: Sewer","PUB Meeting","Blackwood, Jim; Frost, Liam; Jordan, Michael; Stuhr, Michael","Janice Thompson",
"Oregon Citizens' Utility Board","11/10/2015","Telephone","Water","city council accountability measures","Frost, Liam","Janice Thompson",
"Oregon Citizens' Utility Board","11/12/2015","Telephone","Water","city council accountability measures","Frost, Liam","Janice Thompson",
"Oregon Citizens' Utility Board","11/24/2015","Personal Meeting","Other: Sewer","PUB Meeting","Blackwood, Jim; Frost, Liam; Jordan, Michael; Stuhr, Michael","Janice Thompson",
"Oregon Citizens' Utility Board","12/07/2015","Personal Meeting","Water","PWB Budget","Frost, Liam; Stuhr, Michael","Janice Thompson",
"Oregon Citizens' Utility Board","12/10/2015","Personal Meeting","Environment: sewer/storm water","BES Budget","Blackwood, Jim","Janice Thompson",
"Oregon Citizens' Utility Board","12/10/2015","Personal Meeting","Water","annual billing outreach brainstorming (general meeting)","Frost, Liam","Janice Thompson",
"Oregon Citizens' Utility Board","12/15/2015","Personal Meeting","Other: Sewer","PUB Meeting","Blackwood, Jim; Frost, Liam; Jordan, Michael; Stuhr, Michael","Janice Thompson",
"Oregon Citizens' Utility Board","12/21/2015","Personal Meeting","Other: Sewer","transition","Dingfelder, Jackie","Jeff Bissonnette",
"Oregon Food Bank","10/07/2015","Committee Meeting","Transportation: streets, sidewalks and street lighting","Gas tax proposal","Novick, Steve","Anneliese Koehler",
"Oregon Food Bank","12/11/2015","Personal Meeting","Other: Special allocation request","Budget request for truck","Schmanski, Sonia","Anneliese Koehler",
"Oregon Food Bank","12/16/2015","Personal Meeting","Other: special allocation request","budget request for truck","Alpert, Josh","Anneliese Koehler",
"Port of Portland","10/06/2015","Personal Meeting","Business and Economic Development","Regional economic development.","Alpert, Josh; Crail, Tim; Finn, Brendan; Schmanski, Sonia; Warner, Chris","Curtis Robinhold; Kristen Leonard",
"Port of Portland","11/20/2015","Personal Meeting","Business and Economic Development","Regional economic development.","Alpert, Josh; Dingfelder, Jackie","Curtis Robinhold; Kristen Leonard",
"Port of Portland","10/01/2015","Telephone","Business and Economic Development","Regional economic development.","Alpert, Josh","Curtis Robinhold",
"Port of Portland","11/02/2015","Personal Meeting","Planning","City Comprehensive Plan.","Dunphy, Jamie; Fish, Nick; Schmanski, Sonia","Susie Lahsene",
"Port of Portland","11/30/2015","Personal Meeting","Planning","City Comprehensive Plan.","Grumm, Matthew; Saltzman, Dan","Susie Lahsene",
"Port of Portland","12/11/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","Transportation funding.","Treat, Leah","Susie Lahsene",
"Port of Portland","12/10/2015","Personal Meeting","Other","Port of Portland and City of Portland working relationship.","Warner, Chris","Emerald Bogue",
"Port of Portland","12/18/2015","Personal Meeting","Other","Port of Portland and City of Portland working relationship.","Crail, Tim","Emerald Bogue",
"Port of Portland","12/29/2015","Personal Meeting","Planning","City Comprehensive Plan; Lower Willamette; Port of Portland and City of Portland working relationship.","Schmanski, Sonia","Emerald Bogue",
"Port of Portland","11/13/2015","Personal Meeting","Planning","City Comprehensive Plan.","Novick, Steve; Shriver, Katie; Warner, Chris","Susie Lahsene",
"Portland Business Alliance","10/01/2015","Personal Meeting","Business and Economic Development","Nick Fish quarterly check-in","Fish, Nick","Raihana Ansary; Sandra McDonough",
"Portland Business Alliance","10/02/2015","Email","Business and Economic Development","Gas tax","Novick, Steve","Marion Haynes",
