"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Lyft, Inc.","04/22/2026","","Email","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Take Rate Ordinance","Elana Pirtle-Guiney; Steve Novick","Meadow Johnson",
"Lyft, Inc.","05/18/2026","","Telephone","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Take Rate Ordinance","Elana Pirtle-Guiney; Steve Novick","Meadow Johnson",
"Lyft, Inc.","05/26/2026","","Personal Meeting","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Take Rate Ordinance","Luke Zak; Ryan Nielsen","Marissa Cade",
"Lyft, Inc.","06/18/2026","","Personal Meeting","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Take Rate Ordinance","Angelita Morillo; Elana Pirtle-Guiney; Jamie Dunphy; Steve Novick","Meadow Johnson; Nicholas Johnson",
"Lyft, Inc.","06/23/2026","","Telephone","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Take Rate Ordinance","Steve Novick","Meadow Johnson",
"Lyft, Inc.","06/29/2026","","Virtual Meeting","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Undertanding impact, should changes be made to TNC governance","Millicent Williams","Marissa Cade",
"Motorola Solutions","04/14/2026","","Virtual Meeting","Police and Public Safety","Contract negotiations discussion","Eric Zimmerman; Lorne Bulling","Jennifer Arguinzoni-Ward; Tom Henderson",
"Motorola Solutions","04/15/2026","","Virtual Meeting","Police and Public Safety","contract negotiations discussion","Lorne Bulling","Jennifer Arguinzoni-Ward",
"Multifamily NW","06/09/2026","","Email","Housing and Community Development","Emailed with office of Mayor Wilson about his housing memo, requesting a meeting to discuss policy solutions.","Keith Wilson","Zach Lindahl",
"Multifamily NW","06/17/2026","","Meeting Preparation; Personal Meeting","Housing and Community Development","Zach Lindahl, Jonathan Clay and Leah Sykes met with Raihanna Ansary from Mayor Wilson's office to discuss potential fixes to the FAIR ordinance.","Raihana Ansary ","Jonathan Clay; Zach Lindahl",
"Multifamily NW","06/17/2026","","Email","Housing and Community Development","Emailed Councilor Ryan to discuss the FAIR ordinance.","Dan Ryan","Zach Lindahl",
"Multifamily NW","06/17/2026","","Email","Housing and Community Development","Emailed Councilor Clark to discuss the FAIR ordinance","Olivia Clark","Zach Lindahl",
"Multifamily NW","06/17/2026","","Email","Housing and Community Development","Emailed Councilor Zimmerman to discuss the FAIR ordinance.","Eric Zimmerman","Zach Lindahl",
"Multifamily NW","06/26/2026","","Meeting Preparation; Virtual Meeting","Housing and Community Development","Met with Councilor Avalos on proposed HEART climate policy.","Candace Avalos; Sofia Diffee","Jonathan Clay; Zach Lindahl",
